#r,alpha
0,0.528807
0.105033,0.471193
0.21116,0.485597
0.317287,0.401235
0.422319,0.341564
0.527352,0.306584
0.633479,0.306584
0.738512,0.22428
0.842451,0.185185
0.893873,0.164609
0.948578,0.139918
1.00109,0.0617284
