#r, U
0.00110742,1.64372
0.0509413,1.63947
0.105205,1.60686
0.158361,1.61069
0.21041,1.62668
0.263566,1.58193
0.316722,1.53718
0.368771,1.50053
0.421927,1.52461
0.471761,1.45963
0.527132,1.49989
0.579181,1.4268
0.632337,1.42254
0.683278,1.3697
0.736434,1.32091
0.788483,1.23163
0.841639,1.15044
0.893688,1.05711
