#r,alpha
0.00109409,0.290722
0.106127,0.296907
0.212254,0.282474
0.317287,0.241237
0.422319,0.2
0.528446,0.17732
0.632385,0.202062
0.739606,0.158763
0.843545,0.156701
0.896061,0.181443
1,0.0474227
